channel,current_weekly_spend,optimized_weekly_spend_at_current_budget,optimized_weekly_spend_p10,optimized_weekly_spend_p90,posterior_mean_optimum_weekly_spend,current_input_value,optimized_input_value_median,input_unit,pct_change,marginal_roi_mean,headroom_flag,decision_status,optimizer_constraint,evidence_tier,causal_anchor,attribution_support,experiment_coverage,comparability_status,allowed_budget_move,move_permission,max_move_pct,spend_floor,spend_ceiling,new_anchor_required,refresh_required,next_measurement_action_type,anchor_staleness_status,guardrail_reason,next_test_required
field,366.6,340.7,340.7,344.9,340.7,4.31,4.01,calls,-7.07,0.1,above_saturation,directional,bounded to +/-20% of current spend,causal-anchored,True,True,True,fully comparable calibration or budget guardrail available,bounded to +/-20%; causal anchor exists but MMM diagnostics still limit movement,bounded,0.2,293.3,439.9,False,True,refresh_anchor,current,"causal anchor exists, but MMM diagnostics remain directional",False
email,19.5,25.3,25.3,25.3,25.3,19.47,25.3,dollars,29.94,0.698,below_saturation,decision-ready,increase capped at +30%; optimizer may still cut to zero,mmm-only decision-ready,False,True,False,"partial cross-check available; compare metric, scope, and population before using it against MMM",increase capped at +30%; causal anchor required before sustained scaling,increase-capped,0.3,0.0,25.3,True,False,new_anchor,not anchored,"MMM diagnostics clear, but no causal anchor yet",True
digital,87.8,96.5,92.3,96.5,96.5,87.75,96.5,dollars,9.97,0.2383,below_saturation,directional,bounded to +/-10% of current spend,mmm-only directional,False,True,False,"partial cross-check available; compare metric, scope, and population before using it against MMM",bounded to +/-10%; no causal anchor and MMM remains directional,bounded,0.1,79.0,96.5,True,False,new_anchor,not anchored,MMM remains directional and no causal anchor is available,True
paid_media,113.2,124.5,124.5,124.5,124.5,113.22,124.5,dollars,9.96,0.3048,below_saturation,directional,bounded to +/-10% of current spend,mmm-only directional,False,True,False,"partial cross-check available; compare metric, scope, and population before using it against MMM",bounded to +/-10%; no causal anchor and MMM remains directional,bounded,0.1,101.9,124.5,True,False,new_anchor,not anchored,MMM remains directional and no causal anchor is available,True
